Program Name,Entry Threshold,Duration (Domestic),Duration (International),Indicative Fees,QTAC Code,Start Semester,Career Outcomes,Location,Duration,Indicative fees,Indicative 2025 fees (A$),QTAC code,Start,You might also like...,Learn everything you need to know out in the field,In the news,CRICOS code,Entry threshold,Skip the loading screens and get your career started,Find your path to university,Ready for a change?,In high school?,Tech skills in-demand all over the world,"Study crime, justice and the law for a rewarding career",Undergraduate degree,Double degree,Honours,Associate degrees,Diplomas,Gain practical skills amongst the elite,Be in-demand with a health degree from QLD's No.1 public university for skills development*.,Jump into one of the fastest growing employment sectors,The benefits,Common questions,Business graduates are in high demand worldwide,Be taught by the best,"Just like engineers, at UniSC we make things happen",Immerse yourself,Sustainability is at the heart of everything we do,Master your skills as a nurse or midwife,Become a creative and critical thinker,Why study Arts?,There's never been a more relevant time to study psychology and social sciences,At UniSC we live and breathe sustainability
Diploma inAllied Health Assistance,50.00,1 year,1 year,"A$11,232 - 2025 Fees",013132,Semester 1,N/A,{{ vm.location }}Sunshine CoastFraser CoastCaboolture,1 year1 yearFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$11,232 - 2025 FeesCSP","A$11,232 - 2025 FeesCSP",013132019703018632,Semester 1Semester 1Semester 1,"Undergraduate Certificate inAllied Health AssistanceSunshine Coast,Fraser Coast6 monthsfull time or equivalent part-timeCareer outcomesAllied health assistants working under supervison of allied health professionals, Support day-to-day running of practiceBachelor ofHealth ScienceSunshine Coast3 yearsfull time or equivalent part-timeCareer outcomesHealth promotion officer, Environmental health officer, Health policy development, Project development and management, Health communication specialistMaster ofHealth PromotionOnline2 yearsfull time or equivalent part-timeCareer outcomesPractitioner, Researcher, Academic, Consultant, Policy officer, Social advocate, Project worker, Project manager, Educator in international, national, state and local level government and non-government organisations, Community organisations, Professional associations, Private industry, Tertiary institutions",,,,50.0050.0050.00ATAR/Rank,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,Sport and exercise science at UniSC,,,,,,,,,,,,,,"Gain practical skills in UniSC's AIS-accredited sports science labs, and learn from specialist teachers – many of whom hold major coaching and sports science roles with national and international sporting teams.UniSC's Sport Precinct is also home to the Sunshine Coast Lightning, Olympic and Paralympic swimming squads, and the Australian Cycling Academy.Study with a university that has received five stars for teaching, for 18 consecutive years*. UniSC is also the top ranked public university in Australia for graduate outcomes (full-time employment) in the field of Rehabilitation*.*Good Universities Guide 2023/24",,,,,,,,,,,,,,
Diploma inCommunication,N/A,1 year,1 year,"A$23,100",N/A,Semester 1,N/A,{{ vm.location }}Sunshine Coast,1 year1 yearFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$23,100Annual fee","A$23,100Annual fee",,Semester 1Semester 2,"Undergraduate Certificate inSocial MediaSunshine Coast,Online6 monthsfull time or equivalent part-timeCareer outcomesSocial media manager, Digital marketing manager, Online community manager, Content creation executive, Digital strategistDiploma inCreative IndustriesSunshine Coast,Moreton Bay1 yearfull time or equivalent part-timeCareer outcomesCreative entrepreneur, Performance creator, Screen media professional, Writer, Publisher, Creative director, Music industry professional, Actor, Theatre worker, Entertainment industry professionalBachelor ofCommunicationSunshine Coast,Moreton Bay,Online3 yearsfull time or equivalent part-timeCareer outcomesSocial media manager, Advertising executive, Content strategist, Creative director, Public relations officer, Copywriter, Marketing officer, Corporate communications officerBachelor ofBusiness  / CommunicationSunshine Coast,Moreton Bay,Online4 yearsfull time or equivalent part-timeCareer outcomesSocial media manager, Advertising executive, Content strategist, Creative director, Public relations officer, Copywriter, Marketing coordinator, Corporate communications office, Entrepreneur, Innovation managerBachelor ofCommunication (Honours)Sunshine Coast1 yearfull time or equivalent part-timeCareer outcomesJournalism, Professional writing, Public relations, Event management, Advertising, Corporate communication, Creative writing, Web editing",,,084895E,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor ofBehavioural Science (Psychology) (Honours),N/A,1 year,1 year,"A$9,312 - 2025 Fees",N/A,Semester 1,N/A,{{ vm.location }}Sunshine CoastMoreton Bay,1 year1 yearFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$9,312 - 2025 FeesCSP","A$9,312 - 2025 FeesCSP",,Semester 1Semester 2Semester 1Semester 2,"Undergraduate Certificate inCommunity ServicesSunshine Coast,Moreton Bay6 monthsfull time or equivalent part-timeCareer outcomesSocial services, Human services, Counselling, Social Work, Criminology and JusticeBachelor ofBehavioural Science (Psychology)Sunshine Coast,Moreton Bay3 yearsfull time or equivalent part-timeCareer outcomesHealth and education services, Disability support officer, Community work, Training and development, Human resource management, Exercise science, ResearchBachelor ofBehavioural Science (Psychology)  / CounsellingSunshine Coast,Moreton Bay4 yearsfull time or equivalent part-timeCareer outcomesCareers Disability support                            , Community health , Research, Telephone counselling, Working with individuals, Families and groups, Non-government organisations , Government departments, Youth work, Welfare work, Child protection, Corrections, Aged services, Community development, Education, Mental health, Administration of counselling servicesMaster ofPsychology (Clinical)Sunshine Coast2 yearsfull time or equivalent part-timeCareer outcomesPsychologist, Private health sector, Public health sector, Non-government organisations",,,110838E,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor ofLaws  / Arts,70.00,5 years,5 years,"A$16,032 - 2025 Fees",018231,Semester 1,N/A,{{ vm.location }}Sunshine CoastMoreton BayOnline,5 years5 yearsFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$16,032 - 2025 FeesCSP","A$16,032 - 2025 FeesCSP",018231014812015085,Semester 1Semester 2Semester 1Semester 2Semester 1Semester 2,"Undergraduate Certificate inLegal StudiesSunshine Coast6 monthsfull time or equivalent part-timeCareer outcomesA first step to Paralegal work, Law administration, Law enforcement, Corrections, Youth justiceDiploma inCriminology and JusticeSunshine Coast1 yearfull time or equivalent part-timeBachelor ofLaws  / Criminology and JusticeSunshine Coast,Moreton Bay,Online5 yearsfull time or equivalent part-timeCareer outcomesLegal research, Law reform research and policy, Development, Advocacy, Political advising, Corruption, White collar crime investigations, Prosecutions, Crime preventionMaster ofArtsSunshine Coast,Fraser Coast,Gympie,Caboolture,Moreton Bay2 yearsfull time or equivalent part-timeCareer outcomesCommunication and media studies, Creative arts, Mental health and wellbeing, Society and culture, Environment and sustainability, Management and business, LawBachelor ofLawsSunshine Coast,Moreton Bay,Online3 yearsfull time or equivalent part-timeCareer outcomesSolicitor, Barrister, Government legal officer, Judge's associate, Corporate in-house counsel, Business and public service administration",,,081022A,70.0070.0070.00ATAR/Rank,,,,,,,,,,,,,,,,,,,,,,,,,,
Diploma inSocial Science,N/A,1 year,1 year,"A$23,5",N/A,Semester 1,N/A,{{ vm.location }}Sunshine Coast,1 year1 yearFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$23,5Annual fee","A$23,5Annual fee",,Semester 1Semester 2,"Undergraduate Certificate inCommunity ServicesSunshine Coast,Moreton Bay6 monthsfull time or equivalent part-timeCareer outcomesSocial services, Human services, Counselling, Social Work, Criminology and JusticeDiploma inSocial and Human ServicesSunshine Coast,Moreton Bay,Fraser Coast,Gympie,Caboolture1 yearfull time or equivalent part-timeCareer outcomesDisability support, Community health, Research, Telephone counselling, Working with individuals, Families and groups, Non-government organisations, Government departments, Youth work, Welfare work, Child protection, Corrections, Aged services, Community development, Education, Mental health, Administration of counselling servicesMaster ofSocial Work by ResearchSunshine Coast,Fraser Coast,Gympie,Caboolture,Moreton Bay2 yearsfull time or equivalent part-timeCareer outcomesHealth, Mental health, Disability, Schools, Policy development, Child protection",,,084897C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor ofEngineering (Civil) (Honours),60.00,4 years,4 years,"A$8,140 - 2025 Fees",013731,Semester 1,N/A,{{ vm.location }}Sunshine CoastMoreton Bay,4 years4 yearsFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$8,140 - 2025 FeesCSP","A$8,140 - 2025 FeesCSP",013731014731,Semester 1Semester 2Semester 1Semester 2,"Undergraduate Certificate inEngineering DesignSunshine Coast,Moreton Bay6 monthsfull time or equivalent part-timeCareer outcomesWith further study – Civil engineer, Electrical and Electronic engineer, Merchanical engineer, Mechatronic engineerDiploma inScience and TechnologySunshine Coast,Moreton Bay1 yearfull time or equivalent part-timeCareer outcomesEducation, Research, Industry/government, Restoration and conservation, Parks and wildlife, Resource management, Waste and pollution control, Catchment management agencies, Environmental consultant, Wildlife management and conservation organisations, Environmental monitoring and managementBachelor ofEngineering (Mechatronic) (Honours)Moreton Bay4 yearsfull time or equivalent part-timeCareer outcomesRobotics engineering, Industrial engineering, Product design, Manufacturing, Data communications, AutomotiveBachelor ofEngineering (Civil) (Honours)  / Environmental ScienceSunshine Coast,Moreton Bay5 yearsfull time or equivalent part-timeCareer outcomesGovernment agencies, Construction companies, Engineering consultancies, Building industry, Water supply authorities, Mining industry, Research organisations, Parks and wildlife, Resource management, Environmental consultanciesMaster ofScienceSunshine Coast,Fraser Coast,Gympie,Caboolture,Moreton Bay2 yearsfull time or equivalent part-timeCareer outcomesProject manager, Management Analyst, Consultant, Operations manager, Human resources manager, Sports manager, Entertainment manager, Industrial production manager",,,078425G,60.0060.00ATAR/Rank,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor ofBusiness  / Behavioural Science (Psychology),55.00,4 years,4 years,"A$14,112 - 2025 Fees",017411,Semester 1,N/A,{{ vm.location }}Sunshine CoastMoreton Bay,4 years4 yearsFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$14,112 - 2025 FeesCSP","A$14,112 - 2025 FeesCSP",017411014621,Semester 1Semester 2Semester 1Semester 2,"Bachelor ofBusiness  / ScienceSunshine Coast,Moreton Bay4 yearsfull time or equivalent part-timeCareer outcomesEconomics, Finance, Digital futures, Human resource management, Marketing, Small business management, Tourism, Leisure, Event Management, Biology, Biotechnology, Chemistry, Ecology, MathematicsBachelor ofBusinessSunshine Coast,Moreton Bay,Online3 yearsfull time or equivalent part-timeCareer outcomesAcademia, Government positions, Corporate positions, Consultancy, Business management, Human resource management, Marketing management, Market research, International business, Computing, Systems analysisBachelor ofBehavioural Science (Psychology)Sunshine Coast,Moreton Bay3 yearsfull time or equivalent part-timeCareer outcomesHealth and education services, Disability support officer, Community work, Training and development, Human resource management, Exercise science, ResearchMaster ofBusiness Administration MBASunshine Coast,Online1.5 yearsfull time or equivalent part-timeCareer outcomesChief Executive Officer, Chief Operating Officer, Chief Financial Officer, General Manager, Senior Project Manager, Account Executive, High level management roles",,,110841K,55.0055.00ATAR/Rank,,,,,,,,,,,,,,,,,,,,,,,,,,
Diploma inGeneral Studies,N/A,1 year,1 year,"A$23,500",N/A,Semester 1,N/A,{{ vm.location }}Sunshine CoastFraser Coast,1 year1 yearFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$23,500Annual fee","A$23,500Annual fee",,Semester 1Semester 2Semester 1Semester 2,"Undergraduate Certificate inSmall BusinessSunshine Coast,Online,Moreton Bay1 yearfull time or equivalent part-timeCareer outcomesSmall business owner, Manager, Supply chain manager, Change manager, Social media consultant, Quality consultant, EntrepreneurDiploma inBusinessMoreton Bay,Sunshine Coast,Online1 yearfull time or equivalent part-timeCareer outcomesBusiness administration, Digital futures, Economics and finance, Human resource management, Marketing, Small business management, Tourism, Leisure and Event managementBachelor ofArtsSunshine Coast,Moreton Bay,Online3 yearsfull time or equivalent part-timeCareer outcomesResearcher, Publisher, Editor, Sociologist, Geographer, Historian, Policy officer, Government / development professional, Media and communications professional, WriterBachelor ofArts  / BusinessSunshine Coast,Moreton Bay,Online4 yearsfull time or equivalent part-timeCareer outcomesBusiness manager, Entrepreneur, Marketing coordinator, Communications professional, Researcher, Editor, Sociologist, Geographer, Historian, Policy officer, Writer",,,084896D,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor ofBusiness  / Communication,50.00,4 years,4 years,"A$15,446 - 2025 Fees",017311,Semester 1,N/A,{{ vm.location }}Sunshine CoastMoreton BayOnline,4 years4 yearsFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$15,446 - 2025 FeesCSP","A$15,446 - 2025 FeesCSP",017311014311015042,Semester 1Semester 2Semester 1Semester 2Semester 1Semester 2,"Diploma inBusinessMoreton Bay,Sunshine Coast,Online1 yearfull time or equivalent part-timeCareer outcomesBusiness administration, Digital futures, Economics and finance, Human resource management, Marketing, Small business management, Tourism, Leisure and Event managementBachelor ofBusinessSunshine Coast,Moreton Bay,Online3 yearsfull time or equivalent part-timeCareer outcomesAcademia, Government positions, Corporate positions, Consultancy, Business management, Human resource management, Marketing management, Market research, International business, Computing, Systems analysisBachelor ofBusiness  / DesignSunshine Coast,Moreton Bay,Online4 yearsfull time or equivalent part-timeCareer outcomesAnimation and visualisation designer, UX designer, Game programmer/designer, Concept artist, Photographer, Fashion designer, Entrepreneur, Marketing coordinator, Creative director, Advertising executive, Business manager, International businessMaster ofBusiness Administration MBASunshine Coast,Online1.5 yearsfull time or equivalent part-timeCareer outcomesChief Executive Officer, Chief Operating Officer, Chief Financial Officer, General Manager, Senior Project Manager, Account Executive, High level management rolesBachelor ofBusiness  / Creative IndustriesSunshine Coast,Moreton Bay,Online4 yearsfull time or equivalent part-timeCareer outcomesBusiness manager, Entrepreneur, Marketing coordinator, HR manager, Innovation manager, Communications professional, Market researcher, Writer/publisher, Creative director, Advertising executive, International business, Tourism and hospitality managerBachelor ofCommunicationSunshine Coast,Moreton Bay,Online3 yearsfull time or equivalent part-timeCareer outcomesSocial media manager, Advertising executive, Content strategist, Creative director, Public relations officer, Copywriter, Marketing officer, Corporate communications officer",,,0101886,50.0050.0050.00ATAR/Rank,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor ofCommunication (Honours),N/A,1 year,1 year,"A$16,992 - 2025 Fees",N/A,Semester 1,N/A,{{ vm.location }}Sunshine Coast,1 year1 yearFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$16,992 - 2025 FeesCSP","A$16,992 - 2025 FeesCSP",,Semester 1,"Bachelor ofCommunicationSunshine Coast,Moreton Bay,Online3 yearsfull time or equivalent part-timeCareer outcomesSocial media manager, Advertising executive, Content strategist, Creative director, Public relations officer, Copywriter, Marketing officer, Corporate communications officerBachelor ofBusiness  / CommunicationSunshine Coast,Moreton Bay,Online4 yearsfull time or equivalent part-timeCareer outcomesSocial media manager, Advertising executive, Content strategist, Creative director, Public relations officer, Copywriter, Marketing coordinator, Corporate communications office, Entrepreneur, Innovation managerBachelor ofCreative Industries (Honours)Sunshine Coast1 yearfull time or equivalent part-timeCareer outcomesCreative communications, Design, Marketing, Screen and media, Multimedia, Video game design, Digital entertainment design, Performance creation",,,096506B,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diploma inAnimal Ecology,50.00,1 year,1 year,"A$9,312 - 2025 Fees",013202,Semester 1,N/A,{{ vm.location }}Sunshine CoastMoreton BayFraser Coast,1 year1 yearFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$9,312 - 2025 FeesCSP","A$9,312 - 2025 FeesCSP",013202016611019601,Semester 1Semester 2Semester 1Semester 2Semester 1Semester 2,"Undergraduate Certificate inAnimal EcologyFraser Coast,Moreton Bay,Sunshine Coast6 monthsfull time or equivalent part-timeCareer outcomesWith further study - Animal ecology specialist, Private environmental consulting, Researcher, Research assistant, Manager in Government and non-governmental agencies, Ranger, Manager in wildlife management and conservation organisations, Practitioner in environmental monitoring and management, Collector and curator in museums, Environmental educator, Specialist ecotourism guideBachelor ofAnimal EcologySunshine Coast,Moreton Bay3 yearsfull time or equivalent part-timeCareer outcomesResearch assistants and managers in Government and non-governmental agencies, Rangers and managers in wildlife management and conservation organisations, Practitioners in environmental monitoring and management, Collectors and curators in museums, Environmental educators, Specialist ecotourism guidesBachelor ofEducation (Secondary)  / Recreation and Outdoor Environmental StudiesSunshine Coast,Moreton Bay4 yearsfull time or equivalent part-timeCareer outcomesTeacher in secondary schools, Outdoor leader, Outdoor guide, Sports coach, Outdoor recreation officer, Environmental interpretation guide, Adventure tourism guide, Ecotourism guideMaster ofClimate Change Adaptation by ResearchSunshine Coast,Fraser Coast,Gympie,Caboolture,Moreton Bay2 yearsfull time or equivalent part-timeCareer outcomesClimatologist, Climate scientist, Climate policy analyst, Environmental consulant, Resource manager",,,107195F,50.0050.0050.00ATAR/Rank,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,Medical and Health Sciences at UniSC,,,,,,,,,,,,,,,"UniSC medical and health science students undertake clinical placements, treat patients under supervision, and use cutting-edge technology to delve further into the human body than a textbook ever could. We'll also give you plenty of opportunities to get hands-on in class using industry-standard equipment so you confidently know your way around patient care when you're on placement.We're the top ranked public university in Australia for teaching quality in Health Services and Support.* And in the field of Rehabilitation, not only are we number one in Queensland for learning resources, we're also first in Australia in graduate outcomes (full-time employment)*.* Good Universities Guide 2023/24",,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,Creative industries at UniSC,,,,,,,,,,,,,,,,"By studying creative industries at UniSC, you'll get to learn in new state-of-the-art facilities with access to equipment and software relevant to industry. All while being taught by award-winning industry professionals at the top rated public university in Queensland for overall experience, student support and learning resources*.Jump into one of the fastest growing, most dynamic and diverse employment sectors. You'll graduate with strong creative and technical skills, an entrepreneurial mindset, and a professional portfolio showcasing your diverse creative practice.*Good Universities Guide 2023/24",,,,,,,,,,,,
Bachelor ofNursing Science (Honours),N/A,1 year,1 year,"A$5,210 - 2025 Fees",N/A,Semester 1,N/A,{{ vm.location }}Sunshine CoastOnlineMoreton Bay,1 year1 yearFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$5,210 - 2025 FeesCSP","A$5,210 - 2025 FeesCSP",,Semester 1Semester 2Semester 1Semester 2Semester 1Semester 2,"Undergraduate Certificate inHealthMoreton Bay,Caboolture,Fraser Coast,Gympie6 monthsfull time or equivalent part-timeCareer outcomesWIth further study - Government roles, Not-for-profit roles, Private health care services, Education, Academia and researchDiploma inAllied Health AssistanceSunshine Coast,Fraser Coast,Caboolture1 yearfull time or equivalent part-timeCareer outcomesAllied health assistants working under supervison of allied health professionals, Support day-to-day running of practiceBachelor ofNursing ScienceSunshine Coast,Gympie,Fraser Coast,Caboolture,Moreton Bay3.3 yearsfull time or equivalent part-timeCareer outcomesNurse in acute care, Community, Regional and remote, Mental health, Indigenous health, Aged careMaster ofNursing (Clinical Leadership)Online1.5 yearsfull time or equivalent part-timeCareer outcomesLeadership, Clinical education, Clinical practice",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor ofEngineering (Mechatronic) (Honours),60.00,4 years,4 years,"A$8,140 - 2025 Fees",014721,Semester 1,N/A,{{ vm.location }}Moreton Bay,4 years4 yearsFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$8,140 - 2025 FeesCSP","A$8,140 - 2025 FeesCSP",014721,Semester 1Semester 2,"Undergraduate Certificate inEngineering DesignSunshine Coast,Moreton Bay6 monthsfull time or equivalent part-timeCareer outcomesWith further study – Civil engineer, Electrical and Electronic engineer, Merchanical engineer, Mechatronic engineerDiploma inScience and TechnologySunshine Coast,Moreton Bay1 yearfull time or equivalent part-timeCareer outcomesEducation, Research, Industry/government, Restoration and conservation, Parks and wildlife, Resource management, Waste and pollution control, Catchment management agencies, Environmental consultant, Wildlife management and conservation organisations, Environmental monitoring and managementBachelor ofEngineering (Civil) (Honours)Sunshine Coast,Moreton Bay4 yearsfull time or equivalent part-timeCareer outcomesGovernment agencies, Construction companies, Engineering consultancies, Building industry, Mining industry, Research organisationsBachelor ofEngineering (Civil) (Honours)  / Environmental ScienceSunshine Coast,Moreton Bay5 yearsfull time or equivalent part-timeCareer outcomesGovernment agencies, Construction companies, Engineering consultancies, Building industry, Water supply authorities, Mining industry, Research organisations, Parks and wildlife, Resource management, Environmental consultanciesMaster ofScienceSunshine Coast,Fraser Coast,Gympie,Caboolture,Moreton Bay2 yearsfull time or equivalent part-timeCareer outcomesProject manager, Management Analyst, Consultant, Operations manager, Human resources manager, Sports manager, Entertainment manager, Industrial production manager",,,0100795,60.00ATAR/Rank,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor ofCommerce (Honours),N/A,1 year,1 year,"A$15,446 - 2025 Fees",Direct application to USC,Semester 1,N/A,{{ vm.location }}Online,1 year1 yearFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$15,446 - 2025 FeesCSP","A$15,446 - 2025 FeesCSP",Direct application to USC,Semester 1Semester 2,"Undergraduate Certificate inDigital BusinessMoreton Bay,Online6 monthsfull time or equivalent part-timeCareer outcomesDigital specialist, Social media manager, Website developer, Digital business managerDiploma inBusiness InnovationSunshine Coast,Moreton Bay,Online,Caboolture1 yearfull time or equivalent part-timeCareer outcomesBusiness administration, Digital futures, Economics and finance, Human resource management, Marketing, Small business management, Tourism, Leisure, Event managementBachelor ofBusinessSunshine Coast,Moreton Bay,Online3 yearsfull time or equivalent part-timeCareer outcomesAcademia, Government positions, Corporate positions, Consultancy, Business management, Human resource management, Marketing management, Market research, International business, Computing, Systems analysisBachelor ofBusiness  / Commerce (Accounting)Sunshine Coast,Moreton Bay,Online4 yearsfull time or equivalent part-timeCareer outcomesPublic accountant, Auditor, Management accountant, Financial administrator, Taxation consultant, Banking, Corporate positions, Consultancy, Business management, Human resource managementMaster ofProfessional Accounting MPAMoreton Bay2 yearsfull time or equivalent part-timeCareer outcomesChief Financial Officer, Senior Business Strategist, Chartered Accountant, Key professional in the fast-growing wealth management sector",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor ofBehavioural Science (Psychology)  / Criminology and Justice,55.00,4 years,4 years,"A$14,112 - 2025 Fees",011231,Semester 1,N/A,{{ vm.location }}Sunshine CoastMoreton Bay,4 years4 yearsFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$14,112 - 2025 FeesCSP","A$14,112 - 2025 FeesCSP",011231014331,Semester 1Semester 2Semester 1Semester 2,"Undergraduate Certificate inCommunity ServicesSunshine Coast,Moreton Bay6 monthsfull time or equivalent part-timeCareer outcomesSocial services, Human services, Counselling, Social Work, Criminology and JusticeDiploma inSocial and Human ServicesSunshine Coast,Moreton Bay,Fraser Coast,Gympie,Caboolture1 yearfull time or equivalent part-timeCareer outcomesDisability support, Community health, Research, Telephone counselling, Working with individuals, Families and groups, Non-government organisations, Government departments, Youth work, Welfare work, Child protection, Corrections, Aged services, Community development, Education, Mental health, Administration of counselling servicesBachelor ofBehavioural Science (Psychology)Sunshine Coast,Moreton Bay3 yearsfull time or equivalent part-timeCareer outcomesHealth and education services, Disability support officer, Community work, Training and development, Human resource management, Exercise science, ResearchBachelor ofSocial Work  / Criminology and JusticeSunshine Coast,Moreton Bay5 yearsfull time or equivalent part-timeCareer outcomesMental health, Social research, Policy development and analysis, Organisational management, Community development and education, Government agencies, Community agencies, Private practice, Crime and justice research and policy, Youth advocacy, At-risk youth support, Crime victim support services, Offender transition-from-prison programsMaster ofPsychology (Clinical)Sunshine Coast2 yearsfull time or equivalent part-timeCareer outcomesPsychologist, Private health sector, Public health sector, Non-government organisations",,,110840M,55.0055.00ATAR/Rank,,,,,,,,,,,,,,,,,,,,,,,,,,
Associate Degree inBusiness,50.00,2 years,2 years,"A$14,486 - 2025 Fees",012141,Semester 1,N/A,{{ vm.location }}Sunshine CoastOnlineMoreton Bay,2 years2 yearsFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$14,486 - 2025 FeesCSP","A$14,486 - 2025 FeesCSP",012141015018014018,Semester 1Semester 2Semester 1Semester 2Semester 1Semester 2,"Undergraduate Certificate inDigital BusinessMoreton Bay,Online6 monthsfull time or equivalent part-timeCareer outcomesDigital specialist, Social media manager, Website developer, Digital business managerDiploma inBusinessMoreton Bay,Sunshine Coast,Online1 yearfull time or equivalent part-timeCareer outcomesBusiness administration, Digital futures, Economics and finance, Human resource management, Marketing, Small business management, Tourism, Leisure and Event managementBachelor ofBusinessSunshine Coast,Moreton Bay,Online3 yearsfull time or equivalent part-timeCareer outcomesAcademia, Government positions, Corporate positions, Consultancy, Business management, Human resource management, Marketing management, Market research, International business, Computing, Systems analysisBachelor ofBusiness  / CommunicationSunshine Coast,Moreton Bay,Online4 yearsfull time or equivalent part-timeCareer outcomesSocial media manager, Advertising executive, Content strategist, Creative director, Public relations officer, Copywriter, Marketing coordinator, Corporate communications office, Entrepreneur, Innovation managerMaster ofBusiness Administration MBASunshine Coast,Online1.5 yearsfull time or equivalent part-timeCareer outcomesChief Executive Officer, Chief Operating Officer, Chief Financial Officer, General Manager, Senior Project Manager, Account Executive, High level management roles",,,064623F,50.0050.0050.00ATAR/Rank,,,,,,,,,,,,,,,,,,,,,,,,,,
